,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
4864,EZYV8192,Asia,2,Y,N,3015,2005,South,99505.17,4,Y,1
4865,EZYV22007,Asia,1,Y,N,1296,2009,West,486.4225,1,Y,0
4866,EZYV11118,Asia,1,Y,Y,635,2013,West,10903.12,4,Y,1
4867,EZYV22756,Europe,2,Y,N,1307,1989,Northeast,16345.85,4,Y,0
4868,EZYV1983,Asia,3,Y,N,1258,1838,South,101368.15,4,Y,1
4869,EZYV10297,Asia,3,Y,N,1616,1987,Midwest,149907.39,4,Y,0
4870,EZYV21496,Europe,3,N,N,1511,1998,Northeast,48508.3,4,Y,1
4871,EZYV3686,Asia,1,Y,N,3075,1985,South,138057.12,4,Y,1
4872,EZYV8360,Asia,1,Y,N,705,1925,South,160831.05,4,Y,1
4873,EZYV21083,Asia,1,N,N,310,1864,Midwest,37325.28,4,Y,1
4874,EZYV12094,Africa,2,Y,N,116,1963,West,85108.78,4,Y,1
4875,EZYV6927,Asia,2,Y,N,1664,1983,Midwest,113753.59,4,Y,1
4876,EZYV25064,Asia,2,Y,N,3771,2004,Northeast,130996.02,4,N,0
4877,EZYV24877,Asia,2,Y,N,2450,2010,Northeast,73101.24,4,Y,1
4878,EZYV11342,Oceania,1,Y,N,2244,1994,South,86803.98,4,N,1
4879,EZYV754,Asia,1,N,N,3537,1998,Midwest,88664.77,4,Y,1
4880,EZYV12078,Asia,2,N,N,33626,1986,West,130.18,1,Y,0
4881,EZYV9611,Asia,4,N,Y,3075,1995,South,60741.72,4,Y,1
4882,EZYV8645,Asia,3,N,N,47,1979,Midwest,139401.21,4,N,0
4883,EZYV4064,Asia,2,Y,N,2172,1868,West,83449.6,4,Y,1
4884,EZYV7984,Asia,2,Y,N,392,2009,Midwest,121466.65,4,Y,1
4885,EZYV17057,Asia,2,Y,N,806,2009,Northeast,112560.61,4,Y,0
4886,EZYV14276,Asia,1,Y,Y,292,1919,West,61073.65,4,Y,1
4887,EZYV25011,Asia,1,N,N,3589,2001,Midwest,884.5625,1,Y,0
4888,EZYV10478,North America,1,N,N,1554,2010,South,97090.74,4,Y,0
4889,EZYV20208,Europe,1,N,N,3073,2005,Midwest,3287.0,4,Y,1
4890,EZYV11918,Asia,1,Y,N,116,1858,Northeast,451.6964,1,Y,0
4891,EZYV4245,Asia,2,N,N,151150,1984,South,99349.92,4,N,0
4892,EZYV17663,Asia,1,Y,N,4530,1997,Midwest,20414.23,4,Y,1
4893,EZYV2439,South America,2,Y,Y,2139,1861,West,193048.67,4,Y,1
4894,EZYV11720,Asia,1,Y,N,1908,1981,Midwest,13380.32,4,Y,1
4895,EZYV2070,Europe,1,Y,Y,2797,1898,South,26247.63,4,Y,1
4896,EZYV16498,Europe,1,Y,N,2397,2006,Northeast,5187.44,4,Y,1
4897,EZYV5225,Asia,1,N,N,25108,1976,Northeast,133661.33,4,Y,1
4898,EZYV24583,Europe,1,N,Y,856,2013,South,18987.02,4,Y,1
4899,EZYV9271,Asia,1,Y,N,2450,2012,Northeast,83263.27,4,Y,1
4900,EZYV2176,Europe,1,Y,N,3355,2001,Midwest,56367.49,4,Y,1
4901,EZYV8817,Asia,2,N,N,72,2008,South,92941.0,4,Y,1
4902,EZYV5084,North America,2,Y,N,2707,1993,Midwest,5272.36,4,Y,1
4903,EZYV22217,Asia,2,N,N,729,2004,Northeast,67511.69,4,Y,0
4904,EZYV4106,Asia,2,Y,N,4089,1999,South,38769.09,4,Y,1
4905,EZYV12759,Asia,4,N,N,1214,1968,Midwest,166286.2,4,Y,1
4906,EZYV3551,Europe,1,N,Y,1854,2007,Northeast,16075.69,4,Y,1
4907,EZYV4354,South America,2,Y,Y,2488,1977,West,37111.97,4,Y,1
4908,EZYV20201,Asia,1,Y,N,636,2000,Northeast,46662.49,4,Y,1
4909,EZYV21366,Europe,1,N,Y,2168,1970,West,49733.4,4,Y,1
4910,EZYV16131,Asia,2,Y,N,2991,1995,Midwest,122019.09,4,Y,1
4911,EZYV15332,Europe,4,Y,N,538,1994,Midwest,40091.19,4,Y,1
4912,EZYV16799,Europe,1,N,N,2574,2010,West,20967.77,4,Y,1
4913,EZYV6403,Asia,2,Y,N,3448,2002,Northeast,17498.45,4,Y,1
4914,EZYV1355,Asia,1,Y,N,1911,2002,Midwest,139279.24,4,Y,1
4915,EZYV7458,Asia,3,Y,N,646,2002,South,110855.62,4,Y,0
4916,EZYV11404,Africa,2,Y,N,4103,2005,South,99127.74,4,Y,1
4917,EZYV7745,Asia,2,Y,N,4961,2000,South,58597.26,4,Y,1
4918,EZYV17948,South America,1,N,Y,4932,2003,South,72224.12,4,N,0
4919,EZYV18564,Africa,1,Y,N,4491,2006,South,81958.33,4,N,1
4920,EZYV24450,Asia,4,Y,N,1084,2000,South,18905.31,4,Y,1
4921,EZYV1100,Oceania,3,Y,N,786,2008,West,115097.54,4,Y,1
4922,EZYV13905,North America,3,N,N,1825,2011,Northeast,103213.81,4,Y,0
4923,EZYV12576,Asia,1,N,N,396,1910,West,148106.01,4,Y,0
4924,EZYV8627,Europe,1,Y,N,461527,2005,South,27597.39,4,Y,0
4925,EZYV1084,Asia,2,Y,N,4001,1968,Midwest,147951.05,4,Y,1
4926,EZYV3605,Asia,3,Y,N,2137,1989,Midwest,167312.76,4,Y,0
4927,EZYV15074,Asia,3,N,N,859,2005,Northeast,50125.03,4,Y,0
4928,EZYV12388,Asia,3,N,N,952,1977,Island,159281.95,4,Y,0
4929,EZYV19701,Asia,1,Y,N,1509,1989,South,94106.7,4,Y,1
4930,EZYV992,Asia,3,N,N,2749,1996,South,39114.03,4,Y,1
4931,EZYV1888,North America,2,Y,N,67632,2001,Midwest,44499.62,4,N,1
4932,EZYV18894,Asia,3,N,Y,5299,2005,South,77567.79,4,Y,0
4933,EZYV11925,Asia,2,Y,N,1272,1960,South,117972.2,4,N,1
4934,EZYV23818,Asia,2,N,Y,182,1848,Northeast,67779.03,4,Y,1
4935,EZYV6444,Asia,2,N,N,2726,1969,West,113.6,1,Y,1
4936,EZYV15784,Asia,3,Y,N,4246,1976,Midwest,147957.44,4,Y,0
4937,EZYV14256,Asia,1,Y,N,75,1832,South,61071.24,4,N,0
4938,EZYV16686,South America,2,N,N,4835,2001,West,62936.33,4,Y,0
4939,EZYV21477,Europe,4,N,N,4868,1995,West,27953.86,4,Y,1
4940,EZYV18262,Europe,4,Y,N,2880,1900,Northeast,82716.91,4,Y,1
4941,EZYV18186,Asia,2,N,N,2962,1984,Midwest,63411.23,4,Y,1
4942,EZYV9098,Asia,2,N,N,377,1838,Midwest,74541.55,4,Y,1
4943,EZYV22772,Asia,1,N,N,2379,1999,South,133291.57,4,Y,0
4944,EZYV5490,Asia,2,N,N,1325,2008,South,77437.08,4,Y,1
4945,EZYV20887,Asia,2,Y,N,549,1997,Island,94064.29,4,Y,1
4946,EZYV15840,Africa,2,Y,N,725,1995,Northeast,75126.31,4,Y,1
4947,EZYV8139,Asia,1,N,N,823,1982,South,1369.14,4,Y,0
4948,EZYV17503,North America,2,N,N,1632,1847,Northeast,159135.69,4,Y,1
4949,EZYV21537,Asia,2,Y,N,318,1859,West,109169.89,4,Y,0
4950,EZYV17227,Europe,4,Y,N,26646,1997,West,22750.98,4,Y,1
4951,EZYV8710,Asia,1,N,Y,2268,1858,South,284585.2,4,Y,1
4952,EZYV7576,Asia,1,Y,N,546,2009,Midwest,160582.32,4,Y,1
4953,EZYV4052,Asia,1,Y,N,3968,2003,South,30260.62,4,Y,0
4954,EZYV5008,Asia,4,N,Y,433,1867,South,124155.88,4,Y,1
4955,EZYV17563,Asia,1,Y,N,1531,2004,Northeast,221524.92,4,Y,1
4956,EZYV21503,Asia,2,Y,N,2207,2012,Northeast,158578.79,4,N,0
4957,EZYV7790,North America,4,N,N,2585,1998,Northeast,153377.18,4,Y,1
4958,EZYV22191,Africa,2,Y,N,4245,2010,South,55756.85,4,Y,1
4959,EZYV10192,Asia,1,Y,N,548,1960,South,13856.62,4,Y,1
4960,EZYV21475,Asia,2,Y,N,3270,1999,Midwest,45956.02,4,Y,1
4961,EZYV4751,Asia,2,Y,N,1072,1974,South,47109.74,4,Y,1
4962,EZYV814,Asia,2,Y,N,5664,1999,West,34770.1,4,Y,1
4963,EZYV12618,Asia,1,Y,N,1011,1911,Midwest,83182.81,4,Y,0
4964,EZYV7884,Europe,1,N,N,2007,1998,West,15387.91,4,Y,1
4965,EZYV25233,Europe,1,Y,N,994,1940,West,32160.34,4,Y,1
4966,EZYV8433,North America,1,N,N,33,1943,South,123130.98,4,N,0
4967,EZYV18180,Europe,1,N,N,1290,2013,South,731.3048,1,Y,0
4968,EZYV20313,Asia,3,Y,N,1679,2010,South,99400.94,4,Y,1
4969,EZYV10907,Asia,1,Y,N,31378,2005,South,124823.44,4,N,1
4970,EZYV14160,Asia,3,Y,N,4058,1998,Northeast,57760.35,4,Y,0
4971,EZYV4469,Europe,1,Y,N,5353,2013,Northeast,18335.26,4,Y,1
4972,EZYV3108,North America,2,Y,N,1185,2005,South,93221.99,4,N,1
4973,EZYV7926,North America,2,Y,N,2648,2001,Northeast,45.9551,1,Y,1
4974,EZYV2007,North America,2,N,N,242,2007,Midwest,104538.18,4,N,1
4975,EZYV19835,Asia,2,Y,N,4557,2011,West,44348.56,4,N,1
4976,EZYV17841,Asia,1,Y,N,1301,2006,South,43126.86,4,Y,1
4977,EZYV11489,Europe,4,Y,N,5450,2008,West,4198.14,4,Y,1
4978,EZYV8172,Asia,1,Y,N,3016,1847,West,52541.66,4,Y,1
4979,EZYV16277,Asia,2,Y,N,2541,1993,West,54991.88,4,Y,1
4980,EZYV5965,Asia,2,Y,N,119,2003,West,259.4118,1,Y,1
4981,EZYV22267,Asia,1,Y,N,273,2002,West,61660.07,4,Y,1
4982,EZYV14861,North America,1,Y,N,1710,1997,Northeast,45698.43,4,Y,1
4983,EZYV18117,Asia,1,Y,N,2626,2004,West,76224.64,4,Y,1
4984,EZYV10523,Europe,2,N,N,839,1986,South,146281.53,4,N,1
4985,EZYV4386,Europe,1,Y,N,3452,2004,Northeast,98621.04,4,Y,1
4986,EZYV21461,Asia,2,Y,N,2924,1996,Midwest,101448.2,4,Y,1
4987,EZYV6671,Europe,2,Y,N,4020,1993,West,85611.8,4,Y,1
4988,EZYV15120,Europe,2,Y,N,4706,1998,South,66903.54,4,Y,1
4989,EZYV23348,Asia,1,Y,N,748,1943,Midwest,67535.72,4,Y,1
4990,EZYV23182,Europe,1,N,N,991,1983,West,114268.5,4,Y,0
4991,EZYV13264,Asia,1,Y,N,1856,2004,South,64699.08,4,Y,0
4992,EZYV23754,Asia,2,N,N,3447,1993,Midwest,76191.93,4,Y,0
4993,EZYV20073,Europe,2,N,N,708,1981,West,3980.35,4,Y,1
4994,EZYV8695,Asia,2,Y,N,4094,2001,Midwest,254361.39,4,Y,1
4995,EZYV23542,North America,2,Y,N,1992,1999,Midwest,100934.63,4,Y,1
4996,EZYV23908,North America,2,Y,N,310628,1986,West,101619.15,4,Y,0
4997,EZYV5273,Europe,1,Y,Y,245,2006,South,101650.21,4,Y,1
4998,EZYV21885,Europe,3,Y,N,1792,2012,Island,72288.61,4,Y,1
4999,EZYV21908,South America,3,Y,N,4670,1954,West,118879.59,4,Y,0
5000,EZYV2575,Asia,1,N,N,1897,1997,South,44447.67,4,Y,1
5001,EZYV6501,North America,2,Y,N,4921,1987,Northeast,154224.71,4,Y,1
5002,EZYV23457,Asia,1,Y,N,675,1838,West,91723.11,4,Y,1
5003,EZYV10006,Asia,1,Y,N,4831,1838,Island,144726.46,4,Y,0
5004,EZYV5862,Asia,2,Y,Y,691,2000,South,102803.09,4,Y,1
5005,EZYV23386,Asia,2,Y,N,2405,1854,Northeast,129800.15,4,N,1
5006,EZYV12287,Asia,2,Y,N,367,1874,Midwest,115026.6,4,Y,1
5007,EZYV10544,Asia,3,Y,N,3575,2013,Midwest,37673.4,4,Y,0
5008,EZYV23692,Asia,1,Y,N,4017,1999,Midwest,136.51,4,Y,1
5009,EZYV18439,Europe,4,Y,N,3345,2010,Midwest,875.88,4,Y,1
5010,EZYV16909,Asia,4,N,Y,1303,2012,West,393.58,4,Y,1
5011,EZYV05,Africa,2,Y,N,1082,2005,South,149907.39,4,Y,1
5012,EZYV12102,Asia,2,Y,N,1713,1834,Northeast,75478.04,4,Y,1
5013,EZYV16708,Asia,2,Y,N,3127,2000,West,53144.75,4,N,1
5014,EZYV17069,Asia,1,Y,N,229,1999,West,536.5387,1,Y,1
5015,EZYV1866,Asia,2,Y,N,2557,1978,Midwest,25742.05,4,Y,1
5016,EZYV4090,North America,3,Y,N,869,1993,West,115.55,1,Y,1
5017,EZYV25041,Asia,1,Y,Y,2178,1963,West,75073.61,4,Y,1
5018,EZYV9712,North America,2,N,N,1846,2005,South,99099.77,4,N,1
5019,EZYV15852,Asia,3,Y,N,99680,2005,South,17338.27,4,Y,0
5020,EZYV24393,Asia,3,Y,N,622,2005,Midwest,40902.08,4,Y,1
5021,EZYV1569,Asia,2,Y,N,4495,2006,South,46366.46,4,Y,1
5022,EZYV17272,Asia,1,Y,Y,237266,2013,South,72427.42,4,Y,0
5023,EZYV10552,South America,1,Y,N,3973,2009,South,47.4395,1,Y,0
5024,EZYV21759,Asia,1,N,N,3286,1997,South,119426.37,4,Y,0
5025,EZYV20869,Asia,1,N,N,2455,1957,Northeast,272.996,1,Y,1
5026,EZYV18145,Asia,1,Y,N,4756,2010,Northeast,205.1512,1,Y,0
5027,EZYV24385,Europe,4,Y,Y,2965,1960,West,16815.0,4,Y,1
5028,EZYV14508,Asia,1,N,N,2139,1906,Northeast,113302.23,4,Y,0
5029,EZYV9081,Asia,1,Y,N,2893,1998,South,691.1057,1,Y,0
5030,EZYV1065,Asia,1,Y,N,3260,1983,Northeast,100672.28,4,Y,1
5031,EZYV11389,Asia,2,N,Y,1680,1991,West,102710.73,4,Y,1
5032,EZYV19105,Asia,1,N,Y,860,1997,South,133097.51,4,Y,1
5033,EZYV13721,Asia,3,N,N,891,1801,Midwest,49277.5,4,Y,0
5034,EZYV16329,Asia,2,Y,N,5019,2012,West,87405.48,4,N,1
5035,EZYV25334,Asia,2,N,N,1697,1980,West,137.76,1,Y,1
5036,EZYV7334,Asia,2,Y,N,3396,1987,Midwest,156366.1,4,Y,1
5037,EZYV6107,Asia,2,N,N,2298,2008,Northeast,38191.89,4,N,1
5038,EZYV9964,North America,2,N,N,4826,1983,South,117228.09,4,N,1
5039,EZYV333,South America,1,Y,N,2969,1923,West,62586.7,4,Y,0
5040,EZYV3990,Asia,2,N,N,2504,1979,West,120041.04,4,N,0
5041,EZYV18907,Asia,1,Y,N,655,1977,South,42018.7,4,Y,1
5042,EZYV18363,Asia,2,Y,N,1989,2004,Midwest,7485.9,4,Y,1
5043,EZYV3693,Asia,1,N,Y,692,2007,Northeast,27785.74,4,Y,0
5044,EZYV6867,Europe,4,N,Y,4376,2000,South,21303.26,4,Y,1
5045,EZYV7463,North America,1,N,N,993,2003,Northeast,61562.85,4,Y,0
5046,EZYV10841,Asia,1,N,N,2502,2005,Northeast,173363.71,4,Y,1
5047,EZYV11961,Asia,2,Y,N,2087,1998,West,92552.06,4,N,1
5048,EZYV21359,Asia,2,Y,N,1488,1998,Midwest,124102.09,4,Y,1
5049,EZYV7815,Asia,1,Y,N,2953,1836,West,124573.61,4,Y,0
5050,EZYV25236,Africa,2,N,N,4456,1982,South,128197.11,4,Y,1
5051,EZYV18141,Asia,2,Y,N,1066,1971,Midwest,424.47,4,Y,1
5052,EZYV12543,Asia,3,N,N,1795,1833,Northeast,142313.17,4,Y,0
5053,EZYV6735,Europe,3,Y,N,1463,2010,South,71333.23,4,Y,0
5054,EZYV24836,Asia,2,Y,N,1864,1950,South,307.7918,1,Y,0
5055,EZYV20153,North America,1,N,Y,5718,2003,South,103387.55,4,Y,1
5056,EZYV16070,Asia,2,Y,N,2780,1979,South,71322.6,4,Y,1
5057,EZYV24969,Asia,3,Y,N,2641,2007,Northeast,62577.48,4,Y,1
5058,EZYV23369,Asia,1,N,N,1933,2004,South,924.0328,1,Y,1
5059,EZYV4468,North America,1,N,N,1339,2009,West,60165.78,4,Y,0
5060,EZYV12565,Asia,3,Y,N,1162,2013,West,91157.79,4,Y,0
5061,EZYV18506,Asia,2,Y,N,2262,1878,Northeast,69099.22,4,Y,0
5062,EZYV9431,Asia,2,Y,N,4450,1997,South,135900.82,4,Y,1
5063,EZYV5170,Asia,1,Y,N,1630,1984,Northeast,94589.41,4,N,1
5064,EZYV7727,Asia,1,N,Y,8789,1993,South,108619.03,4,Y,0
5065,EZYV7946,Europe,2,Y,N,1262,1997,West,7612.62,4,Y,1
5066,EZYV5632,Europe,2,Y,N,5065,1876,West,20334.16,4,Y,1
5067,EZYV8733,North America,1,N,N,573,1995,Northeast,123.0441,1,Y,0
5068,EZYV22693,Europe,4,Y,Y,3591,2012,West,82442.3,4,Y,1
5069,EZYV7415,Asia,1,Y,N,1835,2009,West,115802.88,4,Y,1
5070,EZYV8679,Asia,1,Y,N,688,1850,West,68822.95,4,Y,1
5071,EZYV8057,Asia,2,N,N,1117,2008,Midwest,67865.79,4,Y,1
5072,EZYV18082,Asia,3,Y,N,972,1911,West,66469.19,4,Y,1
5073,EZYV1684,Asia,4,Y,N,1979,2004,Northeast,29140.28,4,Y,1
5074,EZYV25163,South America,2,N,N,2065,2011,West,47585.11,4,Y,0
5075,EZYV15531,Asia,1,N,N,3373,1973,South,150824.61,4,Y,1
5076,EZYV15545,Asia,4,Y,N,19569,1880,Northeast,27206.1,4,Y,1
5077,EZYV11252,North America,1,Y,N,1062,1980,Midwest,8932.55,4,Y,1
5078,EZYV579,Asia,1,Y,N,1743,1998,West,110382.9,4,Y,1
5079,EZYV14656,Africa,1,Y,N,784,2001,Northeast,111660.51,4,Y,1
5080,EZYV23550,Asia,2,N,N,1869,2007,Northeast,47742.91,4,Y,1
5081,EZYV17373,Europe,1,Y,Y,3538,2008,Midwest,1634.39,4,Y,1
5082,EZYV20425,Asia,2,Y,N,2290,1996,Northeast,59459.64,4,Y,0
5083,EZYV10919,Asia,2,N,N,1140,1981,West,153854.63,4,Y,1
5084,EZYV22253,Asia,2,N,N,1774,1966,South,41881.54,4,N,0
5085,EZYV11636,Africa,2,Y,N,775,1951,Northeast,80043.94,4,Y,1
5086,EZYV5724,South America,3,Y,N,2300,2012,West,90484.39,4,Y,1
5087,EZYV20651,Asia,2,N,N,4292,1911,Midwest,135660.26,4,Y,0
5088,EZYV11606,Asia,2,N,N,2372,1896,Northeast,112548.94,4,N,1
5089,EZYV10023,Asia,2,Y,Y,27,2005,West,96587.9,4,Y,1
5090,EZYV7251,Asia,2,Y,N,2555,1999,Northeast,72873.89,4,Y,1
5091,EZYV677,Asia,1,N,N,987,1968,Midwest,98467.88,4,Y,1
5092,EZYV7539,Asia,2,N,N,1225,1998,Northeast,113.23,1,Y,1
5093,EZYV25256,Asia,2,N,N,144,2007,Island,135705.37,4,Y,1
5094,EZYV20117,Asia,3,N,N,382,1992,South,46454.31,4,Y,1
5095,EZYV783,Europe,1,Y,N,4879,1998,Northeast,35244.7,4,Y,1
5096,EZYV12800,Africa,2,Y,N,1249,1947,Northeast,53141.86,4,Y,1
5097,EZYV15498,Europe,2,N,Y,1019,2003,Northeast,39521.92,4,Y,1
5098,EZYV19455,Europe,2,Y,N,1874,2002,West,61410.12,4,Y,1
5099,EZYV11584,Europe,4,N,N,1187,1977,West,73844.94,4,Y,1
5100,EZYV23816,Asia,2,N,Y,1411,1884,West,160868.34,4,Y,1
5101,EZYV184,Asia,2,N,N,1929,2001,Midwest,100401.52,4,Y,1
5102,EZYV9512,Asia,1,Y,N,2573,1873,South,76309.36,4,Y,0
5103,EZYV3167,Asia,2,N,N,2905,1995,West,817.9455,1,Y,0
5104,EZYV4062,Asia,2,Y,N,1776,1985,Midwest,73932.61,4,Y,1
5105,EZYV2298,Asia,3,Y,N,633,2009,Northeast,89394.5,2,Y,0
5106,EZYV16072,Europe,4,Y,N,509,1893,West,46405.51,4,Y,1
5107,EZYV10658,Asia,2,N,N,1629,1992,West,152933.88,4,N,1
5108,EZYV21077,Africa,2,Y,Y,1231,2007,Northeast,58058.32,4,Y,0
5109,EZYV2837,Asia,2,N,N,2913,1978,Island,86540.13,4,Y,0
5110,EZYV17541,Europe,1,Y,N,2915,1968,West,67610.02,4,Y,1
5111,EZYV20903,Asia,1,Y,N,1086,1961,Northeast,126072.88,4,Y,0
5112,EZYV14330,Asia,1,Y,N,2445,1969,Midwest,51473.44,4,Y,1
5113,EZYV22219,Europe,2,Y,N,2891,1989,Northeast,130631.87,4,Y,1
5114,EZYV1956,Asia,2,N,N,1363,2001,Midwest,192550.96,4,Y,1
5115,EZYV2356,North America,1,Y,N,707,1987,South,94869.9,4,Y,1
5116,EZYV19571,Asia,2,Y,N,3514,1977,South,85297.78,2,Y,1
5117,EZYV18921,Asia,1,Y,N,2277,1985,Northeast,2487.6,4,Y,1
5118,EZYV11239,Europe,1,Y,Y,3181,1945,West,72488.92,4,Y,1
5119,EZYV7290,Asia,2,N,N,4371,1838,South,149404.18,4,N,1
5120,EZYV23463,Asia,3,Y,N,2326,1991,West,89870.87,4,Y,0
5121,EZYV7121,Europe,4,N,N,303,1981,Northeast,113658.69,4,Y,1
5122,EZYV15768,Asia,2,N,N,256,2009,Northeast,152.7813,1,Y,0
5123,EZYV534,North America,2,Y,N,2303,1988,Midwest,128167.33,4,Y,1
5124,EZYV20410,Asia,1,Y,N,795,2012,South,113941.31,4,Y,1
5125,EZYV22359,Asia,2,Y,Y,4235,1987,Northeast,104692.28,4,Y,1
5126,EZYV24915,Europe,2,Y,N,2558,2000,Northeast,7480.44,4,Y,1
5127,EZYV24101,Africa,3,Y,N,1275,2011,Northeast,111757.58,4,Y,1
5128,EZYV15274,South America,2,Y,N,2423,1993,South,176975.96,4,Y,1
5129,EZYV2743,Asia,2,Y,N,1172,2002,West,158.5,4,Y,1
5130,EZYV6142,Europe,1,Y,N,1439,1999,West,18149.41,4,Y,1
5131,EZYV3762,South America,2,N,N,5973,2007,Northeast,53263.14,4,Y,0
5132,EZYV11049,Asia,1,Y,N,3232,2005,South,113268.46,4,Y,0
5133,EZYV25304,Asia,2,N,N,5380,1998,West,37037.67,4,Y,0
5134,EZYV4735,Asia,2,N,N,661,1887,Northeast,441.5777,1,Y,1
5135,EZYV22199,Asia,1,Y,N,53176,2009,Northeast,120657.75,4,Y,1
5136,EZYV7444,North America,1,N,N,11555,2001,West,133.33,1,Y,0
5137,EZYV9459,Asia,1,Y,N,2356,2000,West,133614.05,4,Y,0
5138,EZYV19111,Asia,2,Y,N,16049,1967,South,101707.32,4,Y,1
5139,EZYV23450,Asia,1,N,N,2364,2009,South,216036.64,4,Y,1
5140,EZYV11729,South America,3,N,N,59,1947,Northeast,174.35,1,Y,0
5141,EZYV21896,Asia,2,Y,N,170,1998,West,53723.3,4,Y,0
5142,EZYV10988,North America,1,Y,N,5292,2003,West,95254.97,4,Y,0
5143,EZYV8046,Asia,1,N,Y,1998,1984,West,125175.16,4,Y,1
5144,EZYV24202,Asia,1,Y,N,16201,2008,Midwest,102470.05,4,Y,0
5145,EZYV5761,Asia,3,N,N,4776,1864,Northeast,75560.67,4,Y,0
5146,EZYV16266,Asia,2,Y,N,4236,1986,South,123490.53,4,Y,1
5147,EZYV8523,Asia,1,Y,N,1923,2003,West,135944.44,4,Y,0
5148,EZYV3993,Asia,1,Y,N,3423,2006,Midwest,86262.7,4,Y,1
5149,EZYV13401,Asia,1,Y,Y,825,2003,Northeast,77788.33,4,Y,1
5150,EZYV25387,Asia,4,N,N,2509,1849,West,491.5601,1,Y,1
5151,EZYV16402,Europe,4,Y,N,62,1974,West,42120.25,4,Y,1
5152,EZYV25446,Asia,1,Y,N,2642,1890,Northeast,25899.99,4,Y,1
5153,EZYV1567,Asia,3,N,N,34673,1981,Midwest,104526.55,4,Y,1
5154,EZYV20036,Asia,1,Y,N,3499,1986,South,5019.54,4,Y,1
5155,EZYV9103,Asia,2,N,N,3012,2009,Midwest,148495.91,4,N,1
5156,EZYV15220,Asia,1,N,N,1742,1950,Northeast,153.0232,1,Y,0
5157,EZYV4515,Asia,2,N,N,3025,2009,South,99796.88,4,Y,0
5158,EZYV23639,Europe,4,Y,N,1067,1973,South,28299.61,4,Y,1
5159,EZYV12148,Europe,1,N,N,497,1995,South,25755.42,4,Y,1
5160,EZYV10251,North America,2,N,N,4192,2003,Northeast,26056.56,4,Y,1
5161,EZYV16910,Africa,1,N,N,2591,2008,Northeast,107532.21,4,Y,0
5162,EZYV10496,Asia,3,N,N,1662,2001,Northeast,112791.2,4,N,0
5163,EZYV15552,Asia,2,Y,N,3505,2011,Midwest,126371.14,4,Y,1
5164,EZYV1545,Asia,3,N,N,3882,1975,West,47084.35,4,Y,0
5165,EZYV17386,Asia,2,N,N,751,1997,Midwest,294945.51,4,Y,1
5166,EZYV23586,Asia,3,Y,N,3218,1950,West,91722.93,4,Y,1
5167,EZYV15623,Asia,1,Y,N,2529,2008,South,42123.93,4,N,1
5168,EZYV5668,Asia,2,Y,N,2004,2007,Midwest,68281.43,4,Y,1
5169,EZYV3178,Asia,2,N,N,73,2004,Midwest,51274.99,4,N,0
5170,EZYV1282,Asia,1,Y,N,1688,2003,West,191710.8,4,Y,1
5171,EZYV8285,Europe,4,N,N,104,1872,Northeast,51214.55,4,Y,1
5172,EZYV6176,Europe,4,Y,N,802,1900,Northeast,1445.56,4,Y,1
5173,EZYV20159,Europe,4,Y,Y,19,2005,West,67357.8,4,Y,1
5174,EZYV2472,Asia,1,Y,N,6369,1972,South,5299.54,4,Y,1
5175,EZYV5588,Asia,4,Y,N,1437,2006,South,121088.8,4,N,1
5176,EZYV9661,Asia,3,N,N,3263,1990,West,273.2008,1,Y,0
5177,EZYV4467,Europe,4,Y,N,2254,2007,West,19367.92,4,Y,1
5178,EZYV6374,North America,2,N,N,3095,1994,Northeast,120026.84,4,Y,0
5179,EZYV14181,Asia,2,N,N,4763,1982,Midwest,108534.53,4,Y,1
5180,EZYV25116,Asia,3,N,N,5201,2007,Midwest,74426.52,4,Y,0
5181,EZYV12968,Asia,3,Y,N,54,1929,Midwest,78549.95,4,Y,0
5182,EZYV6321,Asia,4,N,N,4370,2009,Midwest,93561.21,4,Y,1
5183,EZYV660,Asia,1,Y,N,298,2008,West,98135.46,4,Y,1
5184,EZYV20573,Asia,1,Y,N,50,1998,South,63485.6,4,Y,0
5185,EZYV15829,Asia,1,N,N,2007,1965,Northeast,189025.14,4,Y,1
5186,EZYV3600,Asia,1,N,N,3552,1999,South,110075.88,4,Y,0
5187,EZYV5903,South America,3,N,N,343,1852,West,95912.09,4,Y,1
5188,EZYV25160,Asia,2,N,N,205,1946,South,196608.35,4,Y,1
5189,EZYV19402,Asia,2,Y,N,2203,2001,South,383.38,4,Y,1
5190,EZYV20506,North America,1,N,N,98,2010,Northeast,119.34,1,Y,0
5191,EZYV4295,Asia,2,N,N,768,1999,Northeast,112031.35,4,N,0
5192,EZYV17115,Asia,3,Y,N,2872,2004,Midwest,105526.48,4,Y,1
5193,EZYV23102,Asia,1,N,N,4059,2000,Northeast,48082.36,4,Y,0
5194,EZYV13849,Asia,1,Y,N,2295,2003,West,11566.11,4,Y,1
5195,EZYV13221,Asia,3,N,Y,1902,2003,Northeast,603.9859,1,Y,0
5196,EZYV15696,North America,1,Y,N,1106,1904,West,7004.01,4,Y,1
5197,EZYV10353,Asia,1,N,N,25078,1981,West,125807.4,4,Y,0
5198,EZYV24055,Asia,2,Y,Y,2311,1994,West,29500.18,4,Y,1
